actor_principal,id
Jim Varney,39128
Peter Cushing,11868
Dave Thomas,12921
Don Knotts,19953
Trisha Todd,53049
Franco Nero,10772
Franco Nero,77079
Lauren Bacall,74899
Anouk Aimée,120694
Dennis Hopper,12719
Gene Wilder,25001
Valerie Hobson,43438
Kim Stanley,3092
Burt Reynolds,4989
Dave Foley,15313
Matthew Davis,12590
Sanaa Lathan,37964
Barry Pepper,7501
James Van Der Beek,1809
Alexis Bledel,13768
Alison Lohman,10994
Michael Moore,1430
Jerry Seinfeld,19973
Daniel Auteuil,40815
Veronica Taylor,12600
Adam Sandler,8051
Jacques Gamblin,70443
Madonna,12779
Devon Gummersall,146269
Katie Holmes,15992
Samuel L. Jackson,1613
Naomi Watts,565
Greg Kinnear,14112
David Arquette,15192
Howie Mandel,49872
America Ferrera,30309
Sergei Dreiden,16646
Yu-won Lee,37288
Glenn Fitzgerald,20861
Dustin Hoffman,12647
Tsutomu Tatsumi,12477
Kane Hodder,10285
Charles Bronson,19403
John Travolta,11009
John Travolta,10805
Richard Widmark,40064
John Travolta,17496
Jamie Lee Curtis,40969
Tim Curry,76411
Steve McQueen,5917
Walter George Alton,31278
Ralph Macchio,33670
Paul Newman,47942
Dudley Moore,33076
Jack Palance,44932
Olivia Newton-John,15668
Peter Falk,30709
Paul Newman,19429
Gene Hackman,140413
John Savage,21294
Bud Spencer,11340
Jutta Lampe,42142
John Travolta,11644
Rebecca Balding,33721
Jack Lemmon,36133
Brian Matthews,24124
Stacy Keach,34697
Giovanni Lombardo Radice,8691
Denzel Washington,53922
Peter Ustinov,66592
Bud Spencer,6399
Robby Benson,25773
Pierre Richard,19123
John Belushi,26560
Cindy Williams,36220
Jerzy Radziwiłowicz,225
James Farentino,24274
Maren Jensen,33016
Charles Bronson,26444
Brooke Shields,19114
Franco Nero,17205
Barbara Hershey,24740
Donald Sutherland,10863
William Hurt,31679
Michael Carr,15900
Michael Carr,12237
Michael Carr,15901
James B. Schwartz,15902
Samuel Berkowitz,15904
Gérard Depardieu,12579
Walter Matthau,85058
Paul Newman,23668
Craig Wasson,70971
Alan Alda,25113
Edward Albert,28893
Mel Gibson,11646
Lino Ventura,5062
Fred Astaire,24634
Tony Danza,75963
Tony Barry,16124
John Gordon Sinclair,21764
Kim Anderzon,22435
Michael Caine,42149
Melissa Sue Anderson,37936
Andy Kaufman,73247
Robin Clarke,46364
Diane Lane,27016
Sylvia Kristel,35685
Christopher Lloyd,38665
Hanna Schygulla,265
Barbara Sukowa,2264
Albert Finney,21874
Mel Blanc,41394
Gaylen Ross,47957
Stanislaw Tym,31407
Chevy Chase,16471
Albert Brooks,63443
Zoë Lund,22171
Paul Kelman,39874
Wallace Shawn,25468
John Belushi,19507
Jamie Gillis,29072
Kristy McNichol,75596
Marsha Mason,42146
Steve Martin,17450
Christopher George,47886
Divine,14269
Sylvia Kristel,41280
Jean-Paul Belmondo,1672
Gabriel Byrne,9645
Johnny Knoxville,9012
Wood Harris,13098
Mark Wahlberg,13440
James Corden,12454
Matt LeBlanc,31668
Juliet Stevenson,41645
Salma Hayek,1360
Campbell Scott,13441
D. David Morin,45767
Denis Lavant,14626
Jack Palance,48155
David Niven,12208
Sarah Patterson,11905
Jeff Daniels,39497
Paul Newman,1941
Jack Lemmon,26685
Carl Reiner,31918
Peter Sellers,19662
Eddie Murphy,8427
Tim Allen,9021
Said Mohamadi,28988
Vera Farmiga,52735
Sean Penn,13526
Rebecca Romijn,9280
Eminem,65
Julianne Moore,10712
Audrey Tautou,27204
Liam Aiken,152023
Steven Seagal,10167
Daniel Radcliffe,672
Simon Abkarian,16351
Gael García Bernal,542
Dylan Haggerty,36584
Eul-boon Kim,33251
Antonio Resines,25466
John Travolta,50677
Wesley Snipes,2165
Roger Livesey,25037
John Wayne,11617
Harvey Keitel,24909
Simon Lyndon,81530
Paul Gross,34341
Michael Craig,18993
Kirk Cameron,29229
Sean Pertwee,11880
Harvey Keitel,63435
Stellan Skarsgård,80849
Cary Grant,1377
Michael Carr,11629
Isabelle Huppert,2528
Julien Ciamaca,12716
Julien Ciamaca,12717
Gérard Depardieu,48524
Sean Astin,10750
Vicky Dawson,44247
Robert Duvall,45226
Sissy Spacek,96966
James Cagney,25566
Jacqueline Bisset,109962
Massimo Troisi,13386
Stacy Keach,43089
Jane Fonda,47888
Richard Benjamin,20472
Stephen Lack,9538
Burt Reynolds,14664
Jessica Harper,27997
Slavko Štimac,49934
Louis de Funès,9317
Keith Carradine,12528
Lesley-Anne Down,47890
Ben Gazzara,69014
Kristen Riter,21515
Bo Derek,26325
Bruce Dern,69169
Audrey Hepburn,31921
James Caan,11524
Elvis Presley,109264
Robert De Niro,32077
Pierce Brosnan,36669
Kevin Kline,17187
Ice Cube,10426
Kyra Sedgwick,32625
Michael Caine,8198
Cecilia Bengolea,204372
Leonor Watling,64
Adam Sandler,13376
Devon Sawa,15074
George Clooney,2103
Joseph Gordon-Levitt,9016
Laura Regan,16028
Jamie Rose,27070
Til Schweiger,5261
Richard Pryor,23303
Sergei Bodrov Jr.,20992
Larisa Guzeeva,66091
Per Christian Ellefsen,6007
Camille Keaton,25239
Donald Sinden,42453
Linda Fiorentino,25284
Joan Severance,125337
Joshua Morrell,7011
Liane Balaban,35612
Lee Horsley,13945
Stanley Baker,14433
Robert De Niro,9932
John Leguizamo,13369
Nicolas Cage,2757
Christian Bale,7299
Wu Chun,78022
Maria Callas,26356
Asia Argento,23990
Robert Hossein,37335
Jan Machulski,22257
Gösta Ekman,35343
Albert Bitterling,30142
Michael Caine,17360
Richard Dreyfuss,31695
Jack Palance,40952
Klaus Kinski,38849
Jean-Paul Belmondo,71524
John Phillip Law,43279
Diego Abatantuono,29743
Al Pacino,41760
Willie Nelson,31665
Ronny Cox,40219
Burt Reynolds,45840
Burt Reynolds,16363
Jack Nicholson,22023
Claude Brasseur,171
Sting,73116
Graham Crowden,26639
Werner Herzog,42124
Nick Nolte,25297
Scott Glenn,39274
Perry King,11564
Cher,67772
Gérard Depardieu,4202
Michael Caine,17590
Cüneyt Arkın,20787
Paul Bartel,28940
Nick Cannon,13497
Rob Schneider,11852
Jennifer Lopez,7303
Patrick Stewart,201
Jack Nicholson,2755
Juan José Ballesta,33504
Pierce Brosnan,21868
Sigourney Weaver,65684
Leonardo Sbaraglia,10856
Frank Whaley,99826
Samantha Morton,18602
Elijah Wood,121
Jiang Wen,25838
Edward Norton,1429
Derek Luke,13435
Leonardo DiCaprio,3131
Sandra Bullock,2642
Lacey Chabert,14317
Jason Patric,11022
Rob Lowe,24249
Jamie Lee Curtis,9491
Madonna,2149
Audrey Hepburn,20139
Gene Hackman,32074
Keith Carradine,19067
Robert Wagner,53712
John Wayne,25848
Alec Baldwin,14931
Dan Aykroyd,11317
Anna Chlumsky,4032
Noriko Hidaka,8392
Bing Crosby,31804
Bruce Campbell,81048
Conrad Veidt,12232
Audrey Hepburn,11706
Dylan McDermott,61265
George Segal,42569
Michael Caine,25720
Richard Garland,26946
Olivia Hussey,16938
Howard Keel,21143
Summer Phoenix,61578
Jimmy Hunt,20424
Corinne Cléry,4561
Shah Rukh Khan,4435
Stacy Keach,16993
Jonny Lee Miller,18002
Kevin Bacon,21332
Leonardo DiCaprio,640
Roberto Benigni,10599
Catherine Zeta-Jones,1574
Nicole Kidman,590
John Cusack,13560
Charlie Hunnam,29339
Adrien Brody,423
James Franco,28028
Ronald Colman,41084
Drew Barrymore,18773
Michael Ironside,16225
David Hess,28679
Robert De Niro,262
Philip Seymour Hoffman,15395
Sam Rockwell,4912
Leonor Silveira,107693
Jeff Foxworthy,23626
Ashton Kutcher,12090
Steve Guttenberg,44233
Olivier Gourmet,35172
Teah,36273
Denis Leary,14390
Mira Sorvino,41209
Jason Lee,9582
Martin Lawrence,11078
Ge You,77633
Alexandre Rodrigues,598
Stine Stengade,15842
Christopher Reeve,24711
Katharine Hepburn,43886
Dennis Hopper,11222
Edward James Olmos,13199
Anna Karina,8073
Russell Crowe,26393
Chris Rock,15278
Götz George,1484
River Phoenix,14667
Elvis Presley,47263
Elvis Presley,18692
Elvis Presley,15734
Lana Turner,34148
Laurence Olivier,20813
Ethan Hawke,53027
Elvis Presley,18894
Jean Gabin,26252
C. Thomas Howell,24742
Peter Gallagher,19415
Barbara Hershey,41927
Gene Wilder,5968
Chaney Kley,10727
Ulrich Tukur,9045
Traudl Junge,9082
Maya Deren,92348
Joseph Bottoms,80965
Mickey Rourke,14469
Diahann Carroll,55909
Humphrey Bogart,20663
Spencer Tracy,31916
Liam Neeson,61807
Ed Asner,20639
Jimmy Cliff,7514
Blair Underwood,29463
Hayley Mills,42795
Wesley Snipes,39349
Vincent Lindon,44164
Laurence Fishburne,12253
Ali Larter,9358
Al Pacino,1647
Jimi Mistry,9027
Andrei Kashkar,125945
Terry Gilliam,21189
Angela Bettis,10894
Humphrey Bogart,28528
Peter Sellers,34783
Christopher Plummer,34374
Kevin Spacey,12490
Teresa Wright,26761
Virginia McKenna,35185
Miho Nikaido,15802
Peter Sellers,39948
Stéphane Audran,8286
Dirk Bogarde,43028
Robert Urich,65300
Stellan Skarsgård,24129
Martin Sheen,4628
Peter Ustinov,4193
Clint Eastwood,10724
Sean Connery,89571
Chuck Norris,32065
Louis de Funès,11915
Richard Farnsworth,42136
Frederic Forrest,28307
Clint Eastwood,37917
Neil Young,70011
Armand Assante,37191
Marc Singer,210092
Mark Blankfield,3028
Gösta Ekman,29224
Sally Field,81001
Cecilia Roth,8219
Lawrence Monoson,27088
Alan Arkin,10150
Anne Carlisle,20980
Jackie Chan,16407
Michael Ontkean,41913
Christopher Connelly,30875
Bogdan Diklić,29450
Barry Bostwick,27380
Woody Allen,8288
Jack Lemmon,15600
Michael Palin,52083
Christopher Reeve,124963
Terry Gilliam,11949
Jeremy Irons,42134
Charlton Heston,79257
Omero Antonutti,42130
Jean-Louis Barrault,42131
Teri Garr,41291
Carol Kane,84784
Willie Aames,23942
Isabelle Huppert,32692
Chris Parker,37997
Mariel Hemingway,27609
Kristy McNichol,25872
John Cleese,83562
Zbigniew Zapasiewicz,127
Christian Clavier,14645
Michael Moriarty,27726
Brad Davis,42135
Richard Pryor,21923
Florence Delay,1563
Bridgette Andersen,17132
Rowan Atkinson,59533
Rosel Zech,2262
Albert Finney,52772
Kenny Rogers,46925
Dudley Moore,77073
Ken Wahl,76395
Richard Pryor,37607
Jack Hedley,30874
Isabelle Weingarten,30363
Jo Kennedy,49409
Roy Scheider,32048
Omero Antonutti,48139
Robert Carradine,48313
John Cassavetes,48249
Anthony Franciosa,29702
Johnny Yune,24830
Ben Murphy,30049
Peter Sellers,9699
Teresa Stratas,48561
Klaus Kinski,30789
Lena Stolze,11057
Kristy McNichol,47955
Lewis Collins,19322
Sean Connery,31661
Reb Brown,38219
Scott Baio,23943
LL Cool J,26454
Kate Hudson,9919
Jackie Chan,6038
Ben Affleck,9480
John Goodman,14873
Paul Schneider,13132
Walter Cronkite,22707
Choi Min-sik,18302
Casey Affleck,1956
Audrey Tautou,12112
Gabriel Casseus,50380
Walter Matthau,12139
Leslie Howard,118936
Charles Bronson,18587
Kelly Reno,24883
Kelly Reno,17264
Yves Montand,3426
Marlon Brando,2984
Gabriel Byrne,33221
Charles Bronson,59201
Charles Bronson,26172
Charles Bronson,26173
Charles Bronson,33055
Sidney Poitier,33364
Mickey Rourke,33851
Nick Nolte,31598
Audie Murphy,59401
Doris Day,22233
Rock Hudson,4952
David Bowie,991
Kurt Russell,4911
Stephen Lang,16072
Kevin Spacey,11615
Luke Wilson,11635
Annunziata Gianzero,125806
Bill Nighy,77283
Dean Andrews,35824
Sonja Richter,102
Ricky Schroder,14293
Guy Pearce,41820
Jet Li,10623
Ralph Fiennes,9613
Jeff Bridges,7015
Michael Emil,42035
Helena Bonham Carter,21867
Lior Ashkenazi,49680
Mel Brooks,6524
Robert Townsend,11244
Anthony Edwards,77233
Robin Williams,140071
Ryan Gosling,21801
David Love,35139
Michael Madsen,54845
Jang Hyuk,23834
Mania Akbari,14633
Steve Martin,10678
Bruce Willis,9567
Monica Bellucci,979
Frances McDormand,13819
Juliane Köhler,1591
Glenn Close,24186
Parminder Nagra,455
Tommy Lee Jones,10632
Crispin Glover,10929
Christina Ricci,16229
Jason Schwartzman,12079
Jeffrey Hunter,36362
Angela Winkler,4762
Elvis Presley,18535
Cary Grant,23159
James Taylor,27236
Robert De Niro,42459
Steve Allen,43261
Virginia McKenna,15347
Melanie Griffith,44968
Richard Burton,37258
Salomon Perel,8996
Anthony Perkins,125413
James Stewart,17729
Gérard Depardieu,12157
Pat Boone,11571
Michael Keaton,71142
Amanda Langlet,10293
Nanako Matsushima,2671
Miki Nakatani,9669
Shafiq Syed,45129
Shirley MacLaine,42618
Edward James Olmos,41164
Alan Bates,66027
Cuba Gooding Jr.,9557
Morgan Freeman,6171
Gwyneth Paltrow,11523
Irene Dunne,14675
Michael Parks,2525
Lino Capolicchio,57447
Lena Nyman,42695
Paul Bernard,49845
Roddy McDowall,18992
Richard Burton,29912
Matthew Modine,28881
Wei Wei Zhao,80243
John Travolta,10782
Aaron Eckhart,9341
Chris Rock,9776
Amanda Bynes,10735
Robert Duvall,16425
Victor Rasuk,25461
Akira Terao,12516
Jacqueline Bisset,1675
Nick Stahl,62184
Humphrey Bogart,17057
Burt Reynolds,41938
Winona Ryder,79615
John Wayne,40718
Jeff Bridges,42178
Roberto Benigni,203252
Nick Nolte,6016
Vin Diesel,8409
Colin Farrell,1817
Kouichi Yamadera,11299
Eddie Griffin,17995
Billy Bob Thornton,21052
Markku Peltola,7294
Adam Sandler,9506
Parry Shen,14290
Bill Paxton,24982
Sid Haig,2662
Oksana Akinshina,12093
Molly Parker,18941
Mark Ruffalo,42383
Seann William Scott,11817
Roselyn Sánchez,24621
Bob Balaban,13370
Sigourney Weaver,8326
Jamie Kennedy,13411
Philippe Labro,11516
Søren Pilmark,10180
Dustin Hoffman,994
Peter Graves,66918
Arthur Hill,10514
Edward Furlong,14237
Oskar Werner,1714
Jeff Tweedy,14308
Lee Marvin,41461
Robert Redford,9930
Beau Bridges,32083
Billy Crystal,107569
Christopher Gorham,16651
Michael Palin,57565
Kirstie Alley,108553
Kathleen Turner,12661
Goldie Hawn,29355
Diana Ross,24961
Jean-Paul Belmondo,26866
Kim Basinger,31633
Gérard Depardieu,20978
Woody Allen,47762
Bette Midler,47329
Edward Burns,10743
John Cusack,2832
Michael Douglas,31459
Laura Ramsey,19153
Matt Dillon,31932
Yuliya Vysotskaya,72996
Joseph Gordon-Levitt,15098
Al Pacino,11458
Hilary Duff,18736
Patrick Stewart,36658
Margaret Colin,46989
Javier Bardem,20689
Philip Seymour Hoffman,15394
Eddie Murphy,10708
Jean Rochefort,22016
Rufus Thomas,85472
Paul Rudd,22958
Larry Sullivan,15850
Tomás Milián,251053
Victoria Abril,10989
Michael Douglas,1816
Guy Davis,17667
Lucinda Dickey,17464
Lucinda Dickey,15259
Keiko Yokozawa,10515
Uma Thurman,45069
John Edward Peck,117269
Meat Loaf,21024
George Peppard,42792
Gene Kelly,43232
Burt Lancaster,22201
Bing Crosby,11424
Kathryn Grayson,34857
Keanu Reeves,604
Wei-Qiang Zhang,55616
Renée Zellweger,10720
Jack Angstreich,51230
Greg Lauren,23423
Romain Duris,1555
Veronica Taylor,33875
Jim Carrey,310
Michael Douglas,5146
Valeria Golino,12544
Albert Brooks,12
Mark Wahlberg,9654
Desmond Harrington,9902
Arnold Friedman,2260
Marieta Severo,61939
Yun Tang,18385
Paul Walker,584
Adrien Brody,39125
Keisha Castle-Hughes,1088
Steve McQueen,5921
Chow Yun-fat,47423
Jonathan Pryce,49798
Fred Astaire,43239
Dean Jones,32140
Richard Harris,14676
Sandrine Kiberlain,78281
John Wayne,21717
Lane Carroll,29425
William Campbell,28503
Françoise Rosay,59950
Steve McQueen,5920
John Wayne,26593
Burt Lancaster,33564
Alberto Sordi,43361
Bobby Driscoll,6646
Adrienne Barbeau,29514
Cary Grant,38720
James Stewart,38732
Richard Pryor,15462
Rock Hudson,22386
James Stewart,43828
Robert Redford,11145
Judy Garland,32328
Marcello Mastroianni,47715
George Segal,29586
Pierce Brosnan,12629
Paul Newman,111815
James Stewart,25381
James Stewart,38800
James Stewart,21027
Dolly Parton,37264
Sylvester Stallone,11890
Marlon Wayans,36807
James Stewart,18721
Dinah Sheridan,37662
Shirley MacLaine,11916
James Stewart,14551
David Bowie,34759
Van Heflin,51426
Glenn Ford,42986
Mikhail Kaufman,26317
Errol Flynn,43490
John Wayne,40683
Robert De Niro,8092
James Cagney,18200
Cliff Robertson,15925
Jack Palance,32087
John Turturro,290
Harry Andrews,11463
Penélope Cruz,2470
John Wayne,42640
Gary Cooper,44043
John Wayne,30462
James Garner,1403
James Stewart,10243
Paul Newman,42541
Deborah Kerr,37103
Robert Redford,46059
Paul Newman,40085
Jessica Lange,2263
John Wayne,6523
Michel Duchaussoy,2527
Kenneth More,18780
George Peppard,19728
James Mason,26205
Anthony Perkins,3009
Burt Lancaster,6643
John Wayne,18972
John Waters,53380
Kel Mitchell,14817
Jenny Runacre,41426
Denzel Washington,41791
Louis Jouvet,49842
Melanie Griffith,41670
John Wayne,30708
John Wayne,38765
Gabriel Byrne,29627
Sigourney Weaver,36372
John Turturro,30529
Dana Carvey,24073
Tom Berenger,2071
Jennifer Jones,43516
Paul Newman,33638
Mark Mothersbaugh,57476
Julie Andrews,32489
Dabney Coleman,48864
Mimi Rogers,10152
Kelly Clarkson,31246
Harrison Ford,11375
E.G. Daily,20694
Guy Pearce,16311
Helena Bonham Carter,24985
Jean Reno,18300
Laura Harring,55735
Vladimir Mashkov,39088
Luke Wilson,17813
Josh Hamilton,94996
Glenn Ford,42995
Javier Bardem,115665
Gert Fröbe,4708
Lillian Gish,42511
Christopher Lee,35669
Claudia Karvan,49584
Cillian Murphy,170
Cameron Diaz,9471
Maya Sansa,12800
Eric Christmas,44562
Takashi Sorimachi,9581
Alison Eastwood,117179
David Wenham,15486
Brigitte Mira,216
Phoebe Cates,47676
Richard Widmark,44736
Carole Lombard,18569
George E. Mather,113739
Henry Fonda,52758
Ingrid Bergman,38171
John Goodman,61225
Danny Glover,18886
George Segal,24109
Robert Taylor,19957
Barbra Streisand,42176
Rock Hudson,39231
Tom Selleck,18722
Melina Mercouri,43039
Barbra Streisand,40634
Richard Gere,20645
Stewart Granger,33454
Gene Wilder,19753
Rock Hudson,48451
Roman Polanski,11482
Colin Firth,70912
Barbra Streisand,42492
Barbra Streisand,6949
Eric Bana,1927
Reese Witherspoon,10327
Brad Pitt,14411
Arnold Schwarzenegger,296
Charlotte Rampling,302
Johnny Depp,22
Lázaro Ramos,46993
Sean Connery,8698
Anni-Kristiina Juuso,554
Oren Rehany,61545
Jean-Pierre Bacri,34840
Romola Garai,17920
Georges Corraface,40947
James Woods,32235
Martin Lawrence,8961
Mandy Moore,17403
Rowan Atkinson,9486
Devon Gummersall,20439
Chiwetel Ejiofor,3472
Ernesto Mahieux,35265
Kick Gurry,25921
Lucas Belvaux,24259
Misa Shimizu,41453
Wil Horneff,68927
Jim Belushi,11894
Rick Moranis,20726
Gene Hackman,24558
Peter Sellers,12649
Henry Fonda,44916
Bob Dylan,24356
Angelina Jolie,1996
Jeff Bridges,4464
Antonio Banderas,12279
Joaquin Phoenix,9104
Daniel Letterle,33339
Cecilia Roth,71714
Javier Bardem,54580
Alicia Silverstone,4613
Jack Lemmon,12530
Gregory Hines,45096
Burt Reynolds,21882
Richard Harris,29805
Sasha Mitchell,24993
Dean Martin,53021
James Cagney,430
Murilo Benício,123833
Robert Stephens,5185
Fred Ward,10553
Rutger Hauer,21512
Tatsuya Mihashi,21449
Burt Reynolds,4984
Jason Biggs,8273
Ben Affleck,8046
Jeremy Irons,50350
Craig Ferguson,48967
Anne-Marie Duff,8094
Campbell Scott,26195
Jamie Lee Curtis,10330
Bulle Ogier,125952
Samuel L. Jackson,9257
Kate Hudson,9499
Robert August,15292
Franco Citti,12491
Michael Riley,41660
Alan Arkin,78041
Rick Hearst,27814
Ronald Colman,41206
Totò,33954
Maximilian Schell,48364
Megan Dodds,71010
Myrna Loy,23395
Stanley Tucci,47278
Enrique Irazoqui,24192
Shirley Stoler,10237
Carlo Battisti,833
Connie Chung,26755
George C. Scott,42470
Kevin Kline,3101
Robert Englund,6466
Mike Vogel,20210
Kevin Costner,2055
Stephen Chow,11770
Brittany Murphy,14926
Paul Giamatti,2771
Paul Hough,1778
Chiara Mastroianni,44408
Jason Isaacs,54390
Frankie Muniz,10923
Jonathan Jackson,17745
Ellen Burstyn,79888
Moira Kelly,114776
David Naughton,21989
Vincent Price,18573
Ingrid Bergman,37451
Ally Sheedy,41759
Peter Weller,37227
Gabriel Byrne,48791
Hugh Grant,80047
Dexter Fletcher,41944
John Cusack,8992
Josh Brolin,35371
Nicolas Cage,19053
Audrey Hepburn,11206
Michael J. Fox,49762
Juliette Binoche,30970
Dolph Lundgren,13154
Chishu Ryu,18148
Marie Rivière,54898
Robert Duvall,636
Barbara Parkins,3055
Hyo-jeong Lee,54986
Alec Guinness,43048
Dennis Price,11898
Edward Burns,26225
Clint Eastwood,14881
Scott Glenn,26198
Tadao Takashima,35072
Kenji Sahara,43226
John Hoyt,44585
Paul Hubschmid,35073
Dudley Moore,9051
Kevin Bacon,9362
Adolf Wohlbrück,19542
David Niven,936
Peter Sellers,12268
Arnold Schwarzenegger,10999
Frank Langella,33521
Fernando Rey,4593
Zhang Ziyi,12276
Takashi Shimura,3782
Donal Logue,36629
Kerry Fox,2891
James Nachtwey,12722
Carmen Maura,41806
Anand Patwardhan,143795
Laibach,124839
Natasha Richardson,20815
Susan Egan,19433
John Hurt,48464
Aamir Khan,7504
Nandita Das,513
Dirk Bogarde,6619
Lisa Kudrow,32316
Jackie Chan,10610
Ashton Kutcher,2830
Vlastimil Brodský,15920
Shia LaBeouf,21413
Penélope Cruz,38874
Joseph Fiennes,16405
Tatiana Saphir,99648
Ray Wise,11351
Rahul Khanna,333
LisaRaye McCoy,30246
Emmy Rossum,112961
Robert Carlyle,22200
Ernesto Alterio,2722
Serataren Adragna,27090
David Spade,13778
Heath Ledger,9616
Erika Christensen,55015
Seth Green,1415
Harvey Keitel,31094
Rider Strong,11547
Nicolas Cage,7270
Antonio Banderas,1428
Adrien Brody,17906
Bill Murray,153
Andrew Howard,66111
Mami Koyama,33320
Shu Qi,15136
Karen Black,61054
Cybill Shepherd,4703
Uwe Ochsenknecht,29507
Anthony Edwards,27590
Rick Springfield,52734
Christian Slater,14603
Jet Li,10617
Jet Li,10618
Jet Li,10619
Barry Gibb,36759
Sven Wollter,38960
Marlon Brando,53650
Christopher Reeve,40775
Kris Kristofferson,9584
Lori Cardille,8408
Barbra Streisand,14030
Chevy Chase,2687
Bette Midler,16323
Mia Farrow,39859
Jennifer Jones,74585
Dean Martin,23325
Cindy Williams,16790
Tony Lo Bianco,31579
Jenny Wright,40353
Jim Carrey,19064
Cheech Marin,34564
Don Scardino,25241
Tony Randall,43041
Oliver Reed,28942
Errol Flynn,37025
Woody Allen,10739
Dennis Quaid,12767
Beyoncé Knowles,22309
Michael Caine,13156
Kate Beckinsale,277
Bruce Campbell,9707
Daryl Hannah,38244
Connie Nielsen,24488
Goran Visnjic,20321
Jamal Udin Torabi,36791
Ohad Knoller,17614
Ben Stiller,7288
Dwayne Johnson,10159
Diane Lane,10934
Randy Quaid,54243
Joseph Fiennes,5653
Luke Kirby,321
Sarah Polley,20
Tatyana Ali,18113
Olivier,5168
Béatrice Bonifassi,9662
James Woods,837
Aamir Khan,19666
Spencer Tracy,821
Alan Alda,37672
Stephen Hawking,1358
Vlastimil Brodský,2200
Matti Pellonpää,11475
Nora Gregor,776
Robert Plant,40440
Howard Keel,16563
William Hurt,11703
Robert Redford,891
Geena Davis,83714
Romane Bohringer,12531
Małgorzata Foremniak,10881
Ghita Nørby,11832
Julia Ormond,51300
Charles Grodin,11806
Charles Grodin,10438
Tommy Lee Jones,36349
Laurence Fishburne,650
Warren Beatty,10337
Scott Baio,8446
Sylvester Stallone,9874
Carmen Maura,11477
Kevin Kline,37753
Jennifer Connelly,29161
Louise Lasser,21627
Mark Dacascos,9501
Nicholas Tse,49291
Terry Gilliam,4543
Richard Burton,11046
Clint Eastwood,11707
Julia Roberts,7442
Jeremy Piven,14425
Clint Eastwood,6723
Don Knotts,13343
Clint Eastwood,16969
Jeff Goldblum,11338
Casey Siemaszko,13339
Clint Eastwood,28761
Aleksei Kravchenko,25237
Forest Whitaker,41780
Emily Perkins,9871
Candy Clark,33258
Suzy Amis,71940
Liam Neeson,26850
Danny Aiello,70709
Don Knotts,36855
Don Knotts,20238
Julia Sweeney,33783
Ernest Borgnine,163549
Penelope Ann Miller,47898
Joan Crawford,19171
Skeet Ulrich,48345
Harrison Ford,11364
Dante Basco,38135
Debra Winger,55950
Ian McCulloch,39916
Marguerite Chapman,31634
Irene Dunne,43739
Eamonn Walker,45203
Elijah Wood,14874
George C. Scott,32082
Ray Liotta,25269
Susannah York,29449
Gene Hackman,37943
William H. Macy,33633
Gary Oldman,86763
Dermot Mulroney,88641
William Shatner,30315
Albert Finney,13765
Steve Martin,12772
Brooke Adams,47866
Robert Blake,18900
Richard Widmark,17744
Julie-Marie Parmentier,62124
James Cagney,3087
Kouichi Yamadera,14282
Leon Niemczyk,11502
Edward Arnold,29451
Christian Slater,21219
Jacqueline Kim,116094
Denzel Washington,2116
Jack Black,1584
Eric Clapton,28236
Brent Carver,40945
Glen Mulhern,19555
Peter Dinklage,2056
Val Kilmer,4997
Yvonne Bezerra de Mello,8439
Sean Penn,322
Molly Shannon,21765
Jonathan Cherry,11059
George Clooney,11775
Uma Thurman,24
John Livingston,54973
Benoît Magimel,10930
Jack Plotnick,21059
Vittoria Scognamiglio,49475
John Cusack,11329
Jessica Biel,9373
Katie Holmes,1550
Takeshi Kaneshiro,5493
Gwyneth Paltrow,28200
Cate Blanchett,10629
Meg Ryan,10944
Angelina Jolie,9839
Cuba Gooding Jr.,13920
Pamela Anderson,4256
Joaquin Phoenix,10009
Alex Frost,1807
Sara Rue,33343
Robert Downey Jr.,30141
Michael Caine,10536
Tim Matheson,14157
Tom Wilkinson,67809
Simon Srebnik,42044
Kathy Bates,37922
Martin Compston,1376
Kathy Ireland,31397
Robert Shaw,50374
John Turturro,96171
James Marsden,20312
Margaux Hemingway,59809
James Spader,135890
Emilio Estevez,64945
Patricia Arquette,2348
Richard Denning,44591
Angelica Lee,10389
Horst Janson,18979
Larry Parks,31206
Fred Astaire,28658
Peter Cushing,3117
Christien Anholt,20684
Kiefer Sutherland,27450
Basil Rathbone,26643
Jason Gedrick,62327
Kanu Bannerjee,897
Peter Fonda,42522
Alain Delon,11657
Krystyna Janda,224
Basil Rathbone,27117
Basil Rathbone,50553
Basil Rathbone,44383
Judy Holliday,78331
Anthony Hopkins,10922
Charles Busch,43708
Michael Covert,240177
Danny Aiello,30349
Hayden Christensen,13537
Alex McArthur,28446
Keanu Reeves,605
Will Ferrell,10719
Ken Bradshaw,23995
Erika Marozsán,1277
Marina de Van,1836
Keira Knightley,508
Rodolphe Marconi,197563
Steve Martin,11846
Brendan Fraser,10715
Russell Crowe,8619
Tupac Amaru Shakur,21525
Jon Favreau,14892
Tommy Lee Jones,12146
Mike Myers,10588
Halle Berry,4970
Sean Penn,470
Rémy Girard,11042
Chen Bolin,44708
Billy Bob Thornton,10147
Eddie Murphy,10756
Paul Walker,9562
Jeremy Irons,11012
Velda Bontrager,30068
Miranda Richardson,40913
Liam Neeson,9556
Mervyn Johns,13581
Ely Pouget,1702
Jean Reno,19184
Spencer Tracy,24203
Jean-Marc Barr,9065
Cheryl Dunye,44479
Richard Gere,4823
Marlon Brando,10168
